source,model,shared_decoder,encoder_parameters,encoder_size_mb,decoder_component,decoder_parameters,decoder_size_mb,total_encoder_decoder_parameters,total_encoder_decoder_size_mb,reference,notes
phisat2.models.registry,dofa_base_patch16_224,True,111346733,445.386932,SharedUNetDecoder,250123,1.000492,111596856,446.387424,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,dofa_large_patch16_224,True,337151533,1348.606132,SharedUNetDecoder,250123,1.000492,337401656,1349.606624,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,dofa_small_patch16_224,True,34761005,139.044020,SharedUNetDecoder,250123,1.000492,35011128,140.044512,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
src.models + configs/config.yaml,legacy_student_phisatnet,False,199120,0.796480,PhisatNetDecoder,152035,0.608140,351155,1.404620,configs/config.yaml model_student n_classes=3,parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
src.models + configs/config.yaml,legacy_teacher_phisat2net_geoaware,False,21544480,86.177920,FoundationDecoder+all_configured_heads,43891087,175.564348,65435567,261.742268,configs/config.yaml model_teacher fixed_task=null,parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,myriad2_full_unet,False,46560,0.186240,Myriad2FullUNet_decoder_path_and_heads,46422,0.185688,92982,0.371928,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,phisat2_geoaware,True,199120,0.796480,SharedUNetDecoder,250123,1.000492,449243,1.796972,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,prithvi_eo_tiny,True,3684352,14.737408,SharedUNetDecoder,250123,1.000492,3934475,15.737900,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,prithvi_eo_v1_100,True,86630400,346.521600,SharedUNetDecoder,250123,1.000492,86880523,347.522092,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,prithvi_eo_v2_100_tl,True,86630402,346.521608,SharedUNetDecoder,250123,1.000492,86880525,347.522100,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,prithvi_eo_v2_tiny_tl,True,5732354,22.929416,SharedUNetDecoder,250123,1.000492,5982477,23.929908,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,prithvi_swin_B,True,86755256,347.021024,SharedUNetDecoder,250123,1.000492,87005379,348.021516,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,prithvi_swin_L,True,195013524,780.054096,SharedUNetDecoder,250123,1.000492,195263647,781.054588,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
phisat2.models.registry,satlas_resnet50_sentinel2_si_ms_satlas,True,25572712,102.290848,SharedUNetDecoder,250123,1.000492,25822835,103.291340,"single representative decoder: segmentation/lulc, output_channels=11",parameter tensors only; pretrained=False for public registry encoders; FeaturePyramidAdapter excluded
