rank,sample_id,total_pixels,class_0,class_1,class_2,class_3
1,0003155,65536,65535,1,0,0
2,0000026,65536,0,0,0,65536
3,0000099,65536,0,0,65536,0
4,0001554,65536,0,65536,0,0
5,0003679,65536,65535,1,0,0
6,0002255,65536,65534,2,0,0
7,0000030,65536,0,0,0,65536
8,0001555,65536,0,65536,0,0
9,0000100,65536,0,0,65536,0
10,0002730,65536,65534,2,0,0
11,0005201,65536,65533,0,0,3
12,0000038,65536,0,0,0,65536
13,0001556,65536,0,65536,0,0
14,0000114,65536,0,0,65536,0
15,0002230,65536,65532,4,0,0
16,0003842,65536,65532,4,0,0
17,0000043,65536,0,0,0,65536
18,0001557,65536,0,65536,0,0
19,0003387,65536,65530,6,0,0
20,0000125,65536,0,0,65536,0
21,0003742,65536,65529,7,0,0
22,0000046,65536,0,0,0,65536
23,0007772,65536,65528,8,0,0
24,0001630,65536,0,65536,0,0
25,0000135,65536,0,0,65536,0
26,0000902,65536,65526,0,0,10
27,0000053,65536,0,0,0,65536
28,0007677,65536,65525,0,0,11
29,0001693,65536,0,65536,0,0
30,0000188,65536,0,0,65536,0
31,0006641,65536,65524,0,12,0
32,0002555,65536,65522,14,0,0
33,0000066,65536,0,0,0,65536
34,0001695,65536,0,65536,0,0
35,0003457,65536,65521,15,0,0
36,0000189,65536,0,0,65536,0
37,0003183,65536,65520,16,0,0
38,0000073,65536,0,0,0,65536
39,0003501,65536,65519,17,0,0
40,0001877,65536,0,65536,0,0
41,0000195,65536,0,0,65536,0
42,0005156,65536,65519,0,0,17
43,0000074,65536,0,0,0,65536
44,0006002,65536,65519,0,17,0
45,0001878,65536,0,65536,0,0
46,0000267,65536,0,0,65536,0
47,0005742,65536,65518,0,0,18
48,0000081,65536,0,0,0,65536
49,0000354,65536,65516,0,0,20
50,0001879,65536,0,65536,0,0
