sample_id,total_pixels,class_0,class_1,class_2,class_3
0000000,65536,36105,29431,0,0
0000001,65536,34104,31432,0,0
0000002,65536,48066,17470,0,0
0000003,65536,64674,862,0,0
0000004,65536,54511,11025,0,0
0000005,65536,62249,3287,0,0
0000006,65536,42086,23450,0,0
0000007,65536,57166,8370,0,0
0000008,65536,65228,308,0,0
0000009,65536,12330,53206,0,0
0000010,65536,1485,64051,0,0
0000011,65536,20149,45387,0,0
0000012,65536,57466,8070,0,0
0000013,65536,44941,20595,0,0
0000014,65536,8213,57323,0,0
0000015,65536,3738,61798,0,0
0000016,65536,2529,63007,0,0
0000017,65536,52400,13136,0,0
0000018,65536,33722,31814,0,0
0000019,65536,2525,63011,0,0
0000020,65536,686,64850,0,0
0000021,65536,7384,58152,0,0
0000022,65536,5664,59872,0,0
0000023,65536,44640,20896,0,0
0000024,65536,56382,0,0,9154
0000025,65536,10097,0,0,55439
0000026,65536,0,0,0,65536
0000027,65536,26223,0,0,39313
0000028,65536,48924,0,0,16612
0000029,65536,3646,0,0,61890
0000030,65536,0,0,0,65536
0000031,65536,10475,0,0,55061
0000032,65536,45166,0,0,20370
0000033,65536,3991,0,0,61545
0000034,65536,50677,0,0,14859
0000035,65536,52161,0,0,13375
0000036,65536,57063,0,0,8473
0000037,65536,22670,0,0,42866
0000038,65536,0,0,0,65536
0000039,65536,29071,0,0,36465
0000040,65536,44460,0,0,21076
0000041,65536,48814,0,0,16722
0000042,65536,4142,0,0,61394
0000043,65536,0,0,0,65536
0000044,65536,7878,0,0,57658
0000045,65536,32467,0,0,33069
0000046,65536,0,0,0,65536
0000047,65536,15,0,0,65521
0000048,65536,21581,0,0,43955
0000049,65536,38371,0,0,27165
0000050,65536,63705,0,0,1831
0000051,65536,6826,0,0,58710
0000052,65536,458,0,0,65078
0000053,65536,0,0,0,65536
0000054,65536,13918,0,0,51618
0000055,65536,23379,0,0,42157
0000056,65536,41323,0,0,24213
0000057,65536,49690,0,0,15846
0000058,65536,55017,0,0,10519
0000059,65536,6576,0,0,58960
0000060,65536,30818,0,0,34718
0000061,65536,7778,0,0,57758
0000062,65536,512,0,0,65024
0000063,65536,35361,0,0,30175
0000064,65536,18221,0,0,47315
0000065,65536,2366,0,0,63170
0000066,65536,0,0,0,65536
0000067,65536,41457,0,0,24079
0000068,65536,21370,0,0,44166
0000069,65536,36513,0,0,29023
0000070,65536,56170,0,0,9366
0000071,65536,63149,0,0,2387
0000072,65536,473,0,0,65063
0000073,65536,0,0,0,65536
0000074,65536,0,0,0,65536
0000075,65536,65306,0,0,230
0000076,65536,61853,0,0,3683
0000077,65536,57589,0,0,7947
0000078,65536,1636,0,0,63900
0000079,65536,63240,0,0,2296
0000080,65536,2166,0,0,63370
0000081,65536,0,0,0,65536
0000082,65536,0,0,0,65536
0000083,65536,0,0,0,65536
0000084,65536,2854,0,0,62682
0000085,65536,54707,0,0,10829
0000086,65536,33596,0,0,31940
0000087,65536,46462,0,0,19074
0000088,65536,44904,0,0,20632
0000089,65536,64779,0,0,757
0000090,65536,46629,0,0,18907
0000091,65536,8073,0,0,57463
0000092,65536,56482,0,0,9054
0000093,65536,9968,0,0,55568
0000094,65536,0,0,0,65536
0000095,65536,20759,0,44777,0
0000096,65536,13874,0,51662,0
0000097,65536,6610,0,58926,0
0000098,65536,52662,0,12874,0
0000099,65536,0,0,65536,0
0000100,65536,0,0,65536,0
0000101,65536,50670,0,14866,0
0000102,65536,14897,0,50639,0
0000103,65536,13515,0,52021,0
0000104,65536,2352,0,63184,0
0000105,65536,1015,0,64521,0
0000106,65536,12153,0,53383,0
0000107,65536,23755,0,41781,0
0000108,65536,51821,0,13715,0
0000109,65536,34573,0,30963,0
0000110,65536,19270,0,46266,0
0000111,65536,7940,0,57596,0
0000112,65536,6062,0,59474,0
0000113,65536,55400,0,10136,0
0000114,65536,0,0,65536,0
0000115,65536,51961,0,13575,0
0000116,65536,55818,0,9718,0
0000117,65536,64224,0,1312,0
0000118,65536,65498,0,38,0
0000119,65536,39112,0,26424,0
0000120,65536,28150,0,37386,0
0000121,65536,64837,0,699,0
0000122,65536,27332,0,38204,0
0000123,65536,317,0,65219,0
0000124,65536,1018,0,64518,0
0000125,65536,0,0,65536,0
