sample_id,total_pixels,class_0,class_1
0000000,262144,196608,65536
0000001,262144,196608,65536
0000002,262144,196608,65536
0000003,262144,196608,65536
0000004,262144,196608,65536
0000005,262144,196608,65536
0000006,262144,196608,65536
0000007,262144,196608,65536
0000008,262144,196608,65536
0000009,262144,196608,65536
0000010,262144,196608,65536
0000011,262144,196608,65536
0000012,262144,196608,65536
0000013,262144,196608,65536
0000014,262144,196608,65536
0000015,262144,196608,65536
0000016,262144,196608,65536
0000017,262144,196608,65536
0000018,262144,196608,65536
0000019,262144,196608,65536
0000020,262144,196608,65536
0000021,262144,196608,65536
0000022,262144,196608,65536
0000023,262144,196608,65536
0000024,262144,196608,65536
0000025,262144,196608,65536
0000026,262144,196608,65536
0000027,262144,196608,65536
0000028,262144,196608,65536
0000029,262144,196608,65536
0000030,262144,196608,65536
0000031,262144,196608,65536
0000032,262144,196608,65536
0000033,262144,196608,65536
0000034,262144,196608,65536
0000035,262144,196608,65536
0000036,262144,196608,65536
0000037,262144,196608,65536
0000038,262144,196608,65536
0000039,262144,196608,65536
0000040,262144,196608,65536
0000041,262144,196608,65536
0000042,262144,196608,65536
0000043,262144,196608,65536
0000044,262144,196608,65536
0000045,262144,196608,65536
0000046,262144,196608,65536
0000047,262144,196608,65536
0000048,262144,196608,65536
0000049,262144,196608,65536
0000050,262144,196608,65536
0000051,262144,196608,65536
0000052,262144,196608,65536
0000053,262144,196608,65536
0000054,262144,196608,65536
0000055,262144,196608,65536
0000056,262144,196608,65536
0000057,262144,196608,65536
0000058,262144,196608,65536
0000059,262144,196608,65536
0000060,262144,196608,65536
0000061,262144,196608,65536
0000062,262144,196608,65536
0000063,262144,196608,65536
0000064,262144,196608,65536
0000065,262144,196608,65536
0000066,262144,196608,65536
0000067,262144,196608,65536
0000068,262144,196608,65536
0000069,262144,196608,65536
0000070,262144,196608,65536
0000071,262144,196608,65536
0000072,262144,196608,65536
0000073,262144,196608,65536
0000074,262144,196608,65536
0000075,262144,196608,65536
0000076,262144,196608,65536
0000077,262144,196608,65536
0000078,262144,196608,65536
0000079,262144,196608,65536
0000080,262144,196608,65536
0000081,262144,196608,65536
0000082,262144,196608,65536
0000083,262144,196608,65536
0000084,262144,196608,65536
0000085,262144,196608,65536
0000086,262144,196608,65536
0000087,262144,196608,65536
0000088,262144,196608,65536
0000089,262144,196608,65536
0000090,262144,196608,65536
0000091,262144,196608,65536
0000092,262144,196608,65536
0000093,262144,196608,65536
0000094,262144,196608,65536
0000095,262144,196608,65536
0000096,262144,196608,65536
0000097,262144,196608,65536
0000098,262144,196608,65536
0000099,262144,196608,65536
0000100,262144,196608,65536
0000101,262144,196608,65536
0000102,262144,196608,65536
0000103,262144,196608,65536
0000104,262144,196608,65536
0000105,262144,196608,65536
0000106,262144,196608,65536
0000107,262144,196608,65536
0000108,262144,196608,65536
0000109,262144,196608,65536
0000110,262144,196608,65536
0000111,262144,196608,65536
0000112,262144,196608,65536
0000113,262144,196608,65536
0000114,262144,196608,65536
0000115,262144,196608,65536
0000116,262144,196608,65536
0000117,262144,196608,65536
0000118,262144,196608,65536
0000119,262144,196608,65536
0000120,262144,196608,65536
0000121,262144,196608,65536
0000122,262144,196608,65536
0000123,262144,196608,65536
0000124,262144,196608,65536
0000125,262144,196608,65536
0000126,262144,196608,65536
0000127,262144,196608,65536
0000128,262144,196608,65536
