tile_id,total_pixels,class_0,class_10,class_20,class_30,class_40,class_50,class_60,class_70,class_80,class_90,class_95,class_100
pair_000001350_20241012083945_20241012083951_84AFC725_r002816_c002304.tif,65536,0,76,555,447,30066,532,33860,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001024_c001536.tif,65536,0,0,5876,45175,918,0,13567,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r007936_c003072.tif,65536,0,0,128,327,0,562,64519,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002304_c001536.tif,65536,0,0,174,5738,159,0,59465,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002048_c001024.tif,65536,0,0,619,25760,903,0,38254,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r003328_c000256.tif,65536,0,97,507,6622,8051,3807,46452,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001280_c002560.tif,65536,0,3336,5129,8610,6285,35465,6711,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r003840_c003072.tif,65536,0,1644,5524,3685,18989,19787,15884,0,23,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001536_c000768.tif,65536,0,0,1345,32133,55,0,32003,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r006912_c002304.tif,65536,0,0,1612,3666,1651,163,58444,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000512_c001792.tif,65536,0,116,9212,47805,5913,190,2300,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r003072_c003072.tif,65536,0,0,232,746,18007,361,46190,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r003072_c002048.tif,65536,0,23,272,345,19092,499,45305,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002816_c002560.tif,65536,0,143,1768,749,28094,750,34032,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002816_c001792.tif,65536,0,410,4274,5463,9197,7856,38336,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r003584_c002048.tif,65536,0,57,973,1740,12607,331,49824,0,4,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r005120_c000000.tif,65536,0,31,418,118,691,1183,63095,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000512_c000512.tif,65536,0,19470,42026,70,3396,464,110,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r004352_c000512.tif,65536,0,0,25,4169,0,14237,47105,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000256_c002048.tif,65536,0,0,15615,46118,2056,877,870,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r003840_c000256.tif,65536,0,0,127,2219,58,29103,34029,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002048_c002816.tif,65536,0,123,970,2716,18744,19735,23248,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001536_c001280.tif,65536,0,6,14825,14527,1571,1205,33402,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000512_c001536.tif,65536,0,3643,30038,21066,6009,265,4515,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002304_c002048.tif,65536,0,19,1250,2445,4511,38,57273,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000768_c003072.tif,65536,0,5,21433,17050,18788,1652,6608,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000000_c002304.tif,65536,0,156,13532,49370,1749,70,659,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000512_c001024.tif,65536,0,28399,35269,1026,785,0,57,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001280_c003072.tif,65536,0,2112,5002,26199,18353,5953,7917,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r005632_c000256.tif,65536,0,0,379,173,395,7312,57277,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001024_c001280.tif,65536,0,837,26331,26726,418,0,11224,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001792_c000256.tif,65536,0,84,4242,8692,6363,1774,44381,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002304_c000000.tif,65536,0,20,2913,3320,5741,1518,52024,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000256_c003072.tif,65536,0,26,11473,37818,7526,5174,3519,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r000768_c002560.tif,65536,0,207,4385,12932,35294,1413,11305,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001536_c000000.tif,65536,0,13,1270,9437,3603,4630,46583,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001280_c002048.tif,65536,0,23,3918,30729,24834,0,6032,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001792_c002048.tif,65536,0,8,2489,4509,36492,2057,19981,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r007936_c001536.tif,65536,0,0,511,2422,0,0,62603,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r001536_c001024.tif,65536,0,0,4775,24154,247,0,36360,0,0,0,0,0
pair_000001350_20241012083945_20241012083951_84AFC725_r002304_c000256.tif,65536,0,27,646,443,17931,1386,45103,0,0,0,0,0
